Stock Code,Company Name,Year,Current Price,31 Dec 2024 Price,Market Cap,NAV,NAV (Per Unit),Price-to-NAV Ratio (Share Price / NAV Per Unit),Price-to-NAV Ratio (31 Dec 2024 Price),BVPS,Published P/B Ratio,Calculated P/B Ratio (Share Price / Book Value Per Share),Calculated P/B Ratio (31 Dec 2024 Price),Gearing Ratio (Total Debt/ Total Assets),D/E Ratio (Debt / Shareholder Equity),DPU,Dividend Yield,Dividend Yield (31 Dec 2024 Price),Net Property Income,Interest Expense,Interest Coverage Ratio (EBITDA / Interest Expense)
C38U,CapitaLand Integrated Commercial Trust,2024-12-31,2.4,1.93,18079211520,15722171000.0,2.1541736159139036,1.1141163285401232,0.8959352142010159,2.1541736159139036,1.1278195,1.1141163285401232,0.8959352142010159,0.35167472647867937,0.5706767850317873,0.130118,5.421583333333333,6.741865284974094,933683000.0,355853000.0,3.565059167690029
C38U,CapitaLand Integrated Commercial Trust,2023-12-31,2.4,1.93,18079211520,14401720000.0,2.1575601404128846,1.1123676022030702,0.8945289467716356,2.1575601404128846,1.1278195,1.1123676022030702,0.8945289467716356,0.3841387929387643,0.6598696544579398,0.106324,4.430166666666667,5.509015544041452,862570000.0,345632000.0,3.457903203407092
C38U,CapitaLand Integrated Commercial Trust,2022-12-31,2.4,1.93,18079211520,14279393000.0,2.146520837382514,1.1180883773420902,0.8991294034459308,2.146520837382514,1.1278195,1.1180883773420902,0.8991294034459308,0.389646446536277,0.6730861739010895,0.055755,2.323125,2.8888601036269432,723369000.0,233915000.0,4.1300857148964365
C38U,CapitaLand Integrated Commercial Trust,2021-12-31,2.4,1.93,18079211520,13695700000.0,2.067035115606849,1.1610833226195083,0.9337045052731879,2.067035115606849,1.1278195,1.1610833226195083,0.9337045052731879,0.35993118413849357,0.5976694144877589,0.117395,4.8914583333333335,6.082642487046632,1083086000.0,182043000.0,7.081815834720368
C38U,CapitaLand Integrated Commercial Trust,2020-12-31,2.4,1.93,18079211520,,,,,,1.1278195,,,,,0.10033900000000001,4.180791666666668,5.198911917098446,,,
C2PU,Parkway Life REIT,2024-12-31,4.15,3.75,2707680256,1569952000.0,2.406531055302907,1.7244739023231286,1.5582595502919834,2.406531055302907,1.6980361,1.7244739023231286,1.5582595502919834,0.34733749172431067,0.5644178930311246,0.2002,4.824096385542168,5.338666666666667,95041000.0,13237000.0,8.294553146483342
C2PU,Parkway Life REIT,2023-12-31,4.15,3.75,2707680256,1414557000.0,2.3381015227930027,1.7749443125303541,1.6038653426479104,2.3381015227930027,1.6980361,1.7749443125303541,1.6038653426479104,0.35493720583308414,0.5856752325993226,0.1461,3.520481927710843,3.8960000000000004,100465000.0,12931000.0,9.282035418761117
C2PU,Parkway Life REIT,2022-12-31,4.15,3.75,2707680256,1410486000.0,2.3313741111599633,1.7800660906949803,1.6084934554472712,2.3313741111599633,1.6980361,1.7800660906949803,1.6084934554472712,0.3637206684971793,0.6039677104203799,0.1063,2.56144578313253,2.834666666666667,41136000.0,6104000.0,8.053899082568808
C2PU,Parkway Life REIT,2021-12-31,4.15,3.75,2707680256,1434707000.0,2.371408689558051,1.7500146719852907,1.5813385590228528,2.371408689558051,1.6980361,1.7500146719852907,1.5813385590228528,0.35307419271206447,0.5771262006806964,0.13369999999999999,3.2216867469879515,3.565333333333333,331878000.0,4170000.0,80.49112709832134
C2PU,Parkway Life REIT,2020-12-31,4.15,3.75,2707680256,,,,,,1.6980361,,,,,0.1356,3.2674698795180723,3.6159999999999997,,,
N2IU,Mapletree Pan Asia Commercial Trust,2025-03-31,1.46,1.21,7701195776,9624543000.0,1.8271279268557363,0.7990682964998961,0.6622415334005988,1.8271279268557363,0.8381171,0.7990682964998961,0.6622415334005988,0.3715341973076163,0.6231110401813365,0.0596,4.082191780821918,4.925619834710744,588828000.0,252259000.0,3.145933346282987
N2IU,Mapletree Pan Asia Commercial Trust,2024-03-31,1.46,1.21,7701195776,9471202000.0,1.803013349082393,0.8097555133149942,0.6710987473363993,1.803013349082393,0.8381171,0.8097555133149942,0.6710987473363993,0.399129867555428,0.7021725436750267,0.0856,5.863013698630136,7.074380165289256,582744000.0,295266000.0,2.774921596120109
N2IU,Mapletree Pan Asia Commercial Trust,2023-03-31,1.46,1.21,7701195776,9482380000.0,1.8098452245438923,0.8066988161200036,0.6685654571953454,1.8098452245438923,0.8381171,0.8066988161200036,0.6685654571953454,0.4031001579433377,0.7154005639934278,0.09090000000000001,6.226027397260275,7.512396694214877,486198000.0,188055000.0,3.2936853580069663
N2IU,Mapletree Pan Asia Commercial Trust,2022-03-31,1.46,1.21,7701195776,5793537000.0,1.7431962073877227,0.8375419782423069,0.694127255940542,1.7431962073877227,0.8381171,0.8375419782423069,0.694127255940542,0.3343899281019148,0.5185664646657129,0.1008,6.904109589041097,8.330578512396695,347019000.0,54067000.0,7.85434738380158
N2IU,Mapletree Pan Asia Commercial Trust,2021-03-31,1.46,1.21,7701195776,,,,,,0.8381171,,,,,0.09709999999999999,6.6506849315068495,8.024793388429751,0.0,0.0,
HMN,CapitaLand Ascott Trust,2024-12-31,0.94,0.87,3590404096,4841320000.0,1.2753183079981223,0.7370708897573389,0.682182632009452,1.2753183079981223,0.83928573,0.7370708897573389,0.682182632009452,0.38749581920365894,0.7059537481513306,0.05642,6.002127659574468,6.485057471264367,241175000.0,138862000.0,2.6568535668505424
HMN,CapitaLand Ascott Trust,2023-12-31,0.94,0.87,3590404096,4830294000.0,1.2835247962960208,0.7323582705317729,0.6778209525134494,1.2835247962960208,0.83928573,0.7323582705317729,0.6778209525134494,0.3798320319099283,0.6865517916714801,0.05734,6.1000000000000005,6.590804597701149,231255000.0,125757000.0,3.4317692056903395
HMN,CapitaLand Ascott Trust,2022-12-31,0.94,0.87,3590404096,4444795000.0,1.2899822238345728,0.7286922119017862,0.6744278982495255,1.2899822238345728,0.83928573,0.7286922119017862,0.6744278982495255,0.3920288326086255,0.7076859562701991,0.05136,5.463829787234043,5.903448275862069,223305000.0,84396000.0,4.249063936679463
HMN,CapitaLand Ascott Trust,2021-12-31,0.94,0.87,3590404096,4367719000.0,1.3330249802612324,0.7051630794013991,0.6526509351906566,1.3330249802612324,0.83928573,0.7051630794013991,0.6526509351906566,0.389095600993425,0.6889115348308809,0.045759999999999995,4.868085106382979,5.259770114942528,309317000.0,58751000.0,5.198549811918095
HMN,CapitaLand Ascott Trust,2020-12-31,0.94,0.87,3590404096,,,,,,0.83928573,,,,,0.01047,1.1138297872340426,1.203448275862069,,,
Q5T,Far East Hospitality Trust,2024-12-31,0.605,0.61,1223097088,1851803000.0,0.9191594653218641,0.6582100525811871,0.6636498050818581,0.9191594653218641,0.66777045,0.6582100525811871,0.6636498050818581,0.2770079964554705,0.38691318676986697,0.0413,6.826446280991736,6.770491803278689,46700000.0,29777000.0,2.498236894247238
Q5T,Far East Hospitality Trust,2023-12-31,0.605,0.61,1223097088,1866710000.0,0.9321278276153652,0.6490526106786807,0.6544166818413144,0.9321278276153652,0.66777045,0.6490526106786807,0.6544166818413144,0.2809398064027791,0.39467940922800004,0.0365,6.033057851239669,5.983606557377049,130308000.0,24666000.0,6.821333009000243
Q5T,Far East Hospitality Trust,2022-12-31,0.605,0.61,1223097088,1799795000.0,0.9051555485817112,0.6683934059156736,0.6739173183612578,0.9051555485817112,0.66777045,0.6683934059156736,0.6739173183612578,0.2887628747759866,0.409944465897505,0.030699999999999998,5.074380165289256,5.032786885245902,203755000.0,17773000.0,11.759466606650538
Q5T,Far East Hospitality Trust,2021-12-31,0.605,0.61,1223097088,1648392000.0,0.8347002857459702,0.7248110613252187,0.7308012353857577,0.8347002857459702,0.66777045,0.7248110613252187,0.7308012353857577,0.35561248690337166,0.5748869201015292,0.0248,4.099173553719009,4.065573770491803,131010000.0,19206000.0,7.223003228157867
Q5T,Far East Hospitality Trust,2020-12-31,0.605,0.61,1223097088,,,,,,0.66777045,,,,,0.019799999999999998,3.2727272727272725,3.245901639344262,,,
ME8U,Mapletree Industrial Trust,2025-03-31,2.16,2.21,6161562112,5192455000.0,1.8213163410532471,1.185955427573277,1.2134080995078436,1.8213163410532471,1.2796209,1.185955427573277,1.2134080995078436,0.3713552516330318,0.6293745444110733,0.10039999999999999,4.648148148148147,4.542986425339366,345159000.0,158034000.0,3.014212131566625
ME8U,Mapletree Industrial Trust,2024-03-31,2.16,2.21,6161562112,5288732000.0,1.8657308947790008,1.1577232311714794,1.1845223800411895,1.8657308947790008,1.2796209,1.1577232311714794,1.1845223800411895,0.3553217858063706,0.5821126878805732,0.1352,6.259259259259259,6.117647058823529,120512000.0,169577000.0,1.4172794659653136
ME8U,Mapletree Industrial Trust,2023-03-31,2.16,2.21,6161562112,5375935000.0,1.9621133141928107,1.100853852005279,1.1263365800609568,1.9621133141928107,1.2796209,1.100853852005279,1.1263365800609568,0.33708947510425535,0.5359136596703643,0.1343,6.217592592592593,6.076923076923077,291106000.0,112991000.0,3.5991096636015256
ME8U,Mapletree Industrial Trust,2022-03-31,2.16,2.21,6161562112,5278858000.0,1.972253486981734,1.0951939059849687,1.1205456167716579,1.972253486981734,1.2796209,1.0951939059849687,1.1205456167716579,0.346666869497549,0.556886546294672,0.1383,6.402777777777778,6.2579185520362,439216000.0,44280000.0,12.128184281842818
ME8U,Mapletree Industrial Trust,2021-03-31,2.16,2.21,6161562112,,,,,,1.2796209,,,,,0.133779,6.193472222222223,6.053348416289593,,,
K71U,Keppel REIT,2024-12-31,1.02,0.87,4085276928,5641215000.0,1.4675202586253513,0.6950500301477607,0.5928367904201488,1.4675202586253513,0.8259109,0.6950500301477607,0.5928367904201488,0.3142517365653764,0.47114477998090837,0.057,5.588235294117648,6.551724137931035,108445000.0,86741000.0,2.569995734427779
K71U,Keppel REIT,2023-12-31,1.02,0.87,4085276928,5751065000.0,1.5204187500726327,0.6708678118783217,0.572210780719745,1.5204187500726327,0.8259109,0.6708678118783217,0.572210780719745,0.2831220651365341,0.40660260317002156,0.058499999999999996,5.735294117647059,6.724137931034482,178031000.0,64938000.0,4.387708275585943
K71U,Keppel REIT,2022-12-31,1.02,0.87,4085276928,5865304000.0,1.5673315032268254,0.6507876590880882,0.555083591575134,1.5673315032268254,0.8259109,0.6507876590880882,0.555083591575134,0.32110793655261716,0.48622884679123196,0.058499999999999996,5.735294117647059,6.724137931034482,414837000.0,55468000.0,8.958895218864932
K71U,Keppel REIT,2021-12-31,1.02,0.87,4085276928,5589984000.0,1.512679347051038,0.674300209088255,0.5751384136340999,1.512679347051038,0.8259109,0.674300209088255,0.5751384136340999,0.32126631952838963,0.4878022906684527,0.0587,5.754901960784314,6.74712643678161,241168000.0,49515000.0,6.683388872058972
K71U,Keppel REIT,2020-12-31,1.02,0.87,4085276928,,,,,,0.8259109,,,,,0.042,4.117647058823529,4.8275862068965525,,,
BTOU,Manulife US REIT,2024-12-31,0.072,0.09,127912704,430632000.0,0.24239580198380997,0.29703484718274537,0.3712935589784317,0.24239580198380997,0.34615383,0.29703484718274537,0.3712935589784317,0.6091074776428473,1.7322261234650467,0.0,,0.0,-178003000.0,39643000.0,-2.807027722422622
BTOU,Manulife US REIT,2023-12-31,0.072,0.09,127912704,608635000.0,0.342590817543555,0.21016325106508824,0.2627040638313603,0.342590817543555,0.34615383,0.21016325106508824,0.2627040638313603,0.5794499675747826,1.512109885234993,0.0214,29.72222222222222,23.77777777777778,-379963000.0,43277000.0,-7.597684682394806
BTOU,Manulife US REIT,2022-12-31,0.072,0.09,127912704,1020316000.0,0.5743195436136589,0.12536574943448892,0.15670718679311116,0.5743195436136589,0.34615383,0.12536574943448892,0.15670718679311116,0.48632228182527115,1.0084963873937094,0.029300000000000003,40.69444444444445,32.55555555555556,-129721000.0,31728000.0,-5.035520675743823
BTOU,Manulife US REIT,2021-12-31,0.072,0.09,127912704,1187716000.0,0.6770872585375864,0.10633784507407494,0.1329223063425937,0.6770872585375864,0.34615383,0.10633784507407494,0.1329223063425937,0.42682415579347766,0.8177821970908871,0.076,105.55555555555556,84.44444444444444,39413000.0,26890000.0,2.0633692822610636
BTOU,Manulife US REIT,2020-12-31,0.072,0.09,127912704,,,,,,0.34615383,,,,,0.0405,56.250000000000014,45.0,,,
J69U,Frasers Centrepoint Trust,2024-09-30,2.45,2.11,4972005888,4160666000.0,2.2890655209298085,1.0703057547277286,0.9217735275410234,2.2890655209298085,1.0726795,1.0703057547277286,0.9217735275410234,0.3179512487397848,0.48746282446127615,0.12002600000000001,4.899020408163265,5.688436018957347,197546000.0,80821000.0,3.7361329357468973
J69U,Frasers Centrepoint Trust,2023-09-30,2.45,2.11,4972005888,3973235000.0,2.3180078359234413,1.0569420698372989,0.9102643948394696,2.3180078359234413,1.0726795,1.0569420698372989,0.9102643948394696,0.3443678941244344,0.5525492451365197,0.121102,4.942938775510203,5.739431279620853,211954000.0,78255000.0,3.760909846016229
J69U,Frasers Centrepoint Trust,2022-09-30,2.45,2.11,4972005888,3964077000.0,2.3213640189481817,1.0554139635153403,0.9089483522519869,2.3213640189481817,1.0726795,1.0554139635153403,0.9089483522519869,0.30466485159646733,0.45663240143922534,0.12187,4.974285714285714,5.775829383886257,207279000.0,44393000.0,5.546910548960422
J69U,Frasers Centrepoint Trust,2021-09-30,2.45,2.11,4972005888,3918808000.0,2.298621020249198,1.065856432364127,0.9179416621584929,2.298621020249198,1.0726795,1.065856432364127,0.9179416621584929,0.30665845934348984,0.46159852689899583,0.119139,4.862816326530612,5.646398104265403,168633000.0,42721000.0,5.56861964841647
AJBU,Keppel DC REIT,2024-12-31,2.38,2.18,5393650176,3426948000.0,1.5450010931510707,1.5404519845004943,1.4110022379038143,1.5450010931510707,1.5025253,1.5404519845004943,1.4110022379038143,0.30947066450210553,0.5005818588434957,0.128084,5.3816806722689075,5.875412844036696,300669000.0,62841000.0,6.134243567097914
AJBU,Keppel DC REIT,2023-12-31,2.38,2.18,5393650176,2353961000.0,1.3460291880492363,1.76816373755555,1.619578549525672,1.3460291880492363,1.5025253,1.76816373755555,1.619578549525672,0.36957872244731194,0.6290401582694021,0.10056,4.2252100840336135,4.612844036697247,118530000.0,65025000.0,2.8755709342560554
AJBU,Keppel DC REIT,2022-12-31,2.38,2.18,5393650176,2456918000.0,1.4071738300529115,1.6913333300907882,1.549204478822655,1.4071738300529115,1.5025253,1.6913333300907882,1.549204478822655,0.3591173375225767,0.6003997691416645,0.08421000000000001,3.538235294117648,3.862844036697248,230905000.0,29348000.0,9.779030939075916
AJBU,Keppel DC REIT,2021-12-31,2.38,2.18,5393650176,2335676000.0,1.340180851681719,1.7758797232578492,1.6266461330681141,1.340180851681719,1.5025253,1.7758797232578492,1.6266461330681141,0.3437085829927384,0.5562715034105757,0.109655,4.607352941176471,5.030045871559633,313656000.0,12628000.0,29.072378840671522
AJBU,Keppel DC REIT,2020-12-31,2.38,2.18,5393650176,,,,,,1.5025253,,,,,0.062259999999999996,2.615966386554622,2.8559633027522935,,,
